"","site","species","resp.ratio.site_D4","resp.ratio.site_D6","resp.ratio.site_PDfull","resp.ratio.site_PDfirst","resp.ratio.site_PDfinal","SE.RII_D4","SE.RII_D6","SE.RII_PDfull","SE.RII_PDfirst","SE.RII_PDfinal","persistence.site","mean.ctrl.cov","percrank","absrank","spatial_rarity","temporal_rarity"
"364","SBL","Chamaesyce_fendleri",NA,NA,0.241379310344827,NA,0.241379310344828,NA,NA,0.223688821551805,NA,0.220871583703459,0.0833333333333333,0.005225,0.53125,52,0.46875,0.916666666666667
"365","SBL","Chamaesyce_lata",1,1,1,NA,1,0,0,0,NA,0,0,0,0,12.5,1,1
"366","SBL","Chamaesyce_revoluta",NA,0.746711213196911,NA,NA,NA,NA,0.0419620333639641,NA,NA,NA,0.0833333333333333,0.0303249999999999,0.6875,67,0.3125,0.916666666666667
"367","SBL","Chamaesyce_serpyllifolia",0.457514979064011,0.558816351433801,0.384840141596898,0.321244537212185,0.780210867802109,0.00748081280942414,0.00485307637685666,0.0223853088598371,0.0258102546662377,0.0187924522839449,0.916666666666667,2.38025,0.979166666666667,95,0.0208333333333334,0.0833333333333334
"368","SBL","Chamaesyce_serrula",0.498110355253212,0.617634220864251,0.352630114110771,0.352364475201845,0.36,0.119596801959088,0.0466274016536155,0.035762214310242,0.0341291177662773,0.13713408,0.5,0.0838250000000003,0.84375,82,0.15625,0.5
"369","SBL","Chenopodium_incanum",1,0.994015559545183,1,1,NA,0,4.40148299314348e-05,0,0,NA,0.0833333333333333,0.000125,0.25,26,0.75,0.916666666666667
"370","SBL","Cryptantha_crassisepala",0.976110101272397,0.929733085040348,0.244582043343653,-0.452380952380952,0.489539748953975,0.000301871884184552,0.000864792468412365,0.0557765932533661,0.073659356711268,0.0581498191860466,0.5,0.010125,0.583333333333333,57,0.416666666666667,0.5
"371","SBL","Cylindropuntia_imbricata",NA,-1,NA,NA,NA,NA,0,NA,NA,NA,0.166666666666667,0.000375,0.385416666666667,38,0.614583333333333,0.833333333333333
"372","SBL","Cymopterus_acaulis",0.570945945945946,0.479198767334361,-0.671232876712329,-0.824561403508772,-0.125,0.0463626019554428,0.046712076987516,0.0492408319465359,0.0350832158445667,0.29719739082532,0.416666666666667,0.02875,0.677083333333333,66,0.322916666666667,0.583333333333333
"373","SBL","Dasyochloa_pulchella",0.727616953707097,0.767698259187621,0.97051597051597,0.987341772151899,0.959839357429719,0.00988444821390255,0.00604536728928993,0.000713251073241373,0.000230706541060547,0.00178838917313843,0.833333333333333,0.03455,0.708333333333333,69,0.291666666666667,0.166666666666667
"374","SBL","Delphinium_wootonii",-1,-1,-1,-1,NA,0,0,0,0,NA,0.333333333333333,0.00545,0.552083333333333,54,0.447916666666667,0.666666666666667
"375","SBL","Descurainia_pinnata",0.575000000000001,0.47810329205678,-0.345924453280318,1,-0.34726368159204,0.117530462608098,0.0878202818737093,0.199884468367046,0,0.197270856450769,0.333333333333333,0.038525,0.75,73,0.25,0.666666666666667
"376","SBL","Echinocereus_fendleri",1,0.88235294117647,1,NA,1,0,0.0106757336361431,0,NA,0,0.0833333333333333,0.0015,0.489583333333333,48,0.510416666666667,0.916666666666667
"377","SBL","Ecinomastus_intertextus",-0.058171257590425,-0.238795604036442,-0.441310282074613,-0.348123672409724,-0.527991218441273,0.00571632808583786,0.00370124447897949,0.0132150567049942,0.0366734749275122,0.0151273362228912,1,0.554449999999999,0.9375,91,0.0625,0
"378","SBL","Enneapogon_desvauxii",1,1,1,1,1,0,0,0,0,0,0,0,0,12.5,1,1
"379","SBL","Eriastrum_diffusum",NA,-0.93998461143883,-0.62454699202706,-0.896854425749817,-0.094661921708185,NA,0.00128885272474948,0.031655275113847,0.00471968548702606,0.103930798567777,0.25,0.178599999999999,0.90625,88,0.09375,0.75
"380","SBL","Erigeron_divergens",NA,1,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,12.5,1,1
"381","SBL","Eriogonum_abertianum",1,0.96420581655481,1,1,NA,0,0.000926771766253816,0,0,NA,0.0833333333333333,2e-04,0.302083333333333,30,0.697916666666667,0.916666666666667
"382","SBL","Escobaria_vivipara",-0.0454545454545453,0.161676646706587,-0.861538461538461,-0.925925925925926,-0.815789473684211,0.0723445355057455,0.0558873643475726,0.0080182417468452,0.00591869256876284,0.0208645985878263,0.833333333333333,0.023875,0.645833333333333,63,0.354166666666667,0.166666666666667
"383","SBL","Euphorbia_exstipulata",0.456740442655936,0.62111644354635,0.577883472057075,0.579922318494174,0.176470588235294,0.0669315302922526,0.012777788614492,0.0127987580899274,0.0102532566912069,0.205936231606423,0.583333333333333,0.055125,0.8125,79,0.1875,0.416666666666667
"384","SBL","Evolvulus_nuttallianus",NA,NA,-1,NA,-1,NA,NA,0,NA,0,0.0833333333333333,0.000125,0.25,26,0.75,0.916666666666667
"385","SBL","Gaillardia_pinnatifida",NA,1,1,1,1,NA,0,0,0,0,0,0,0,12.5,1,1
"386","SBL","Gaura_coccinea",-0.126647144948755,-0.0087241003271542,-0.00047551117451276,-0.036740146960588,0.0891089108910891,0.0316212541333444,0.0173684066038505,0.0603746122152079,0.101245744930411,0.108750153820612,1,0.15555,0.885416666666667,86,0.114583333333333,0
"387","SBL","Gaura_suffulta",NA,NA,0.923076923076923,NA,0.923076923076923,NA,NA,0.00563540783806627,NA,0.00556738109694946,0.166666666666667,0.00015,0.291666666666667,29,0.708333333333333,0.833333333333333
"388","SBL","Gilia_mexicana",NA,-0.154311167674198,0.547596606974553,0.433614330874605,0.834327369118622,NA,0.0812147820265063,0.0270943018799214,0.0491718625463882,0.011371342698105,0.25,0.1207,0.875,85,0.125,0.75
"389","SBL","Glandularia_bipinnatifida",0.189873417721519,-0.0644677661169422,0.411764705882353,0.411764705882353,NA,0.0495677326923737,0.0590216812921532,0.296325080980922,0.295703306922042,NA,0.5,0.00900000000000002,0.572916666666667,56,0.427083333333333,0.5
"390","SBL","Grusonia_clavata",1,1,0.997840172786177,1,0.996197718631179,0,0,5.81571009210153e-06,0,2.15697228010812e-05,0.0833333333333333,0.000125,0.28125,28,0.71875,0.916666666666667
"391","SBL","Gutierrezia_sarothrae",-0.524663677130046,-0.524064171122994,1,NA,1,0.135054425579319,0.0649607813653497,0,NA,0,0.583333333333333,0.0712500000000005,0.822916666666667,80,0.177083333333333,0.416666666666667
"392","SBL","Gutierrezia_sphaerocephala",NA,1,-1,NA,-1,NA,0,0,NA,0,0.0833333333333333,0.00025,0.3125,32.5,0.6875,0.916666666666667
"393","SBL","Heterosperma_pinnatum",NA,NA,1,NA,1,NA,NA,0,NA,0,0,0,0,12.5,1,1
"394","SBL","Hymenopappus_filifolius",0.993929583164711,0.984573852680293,0.909502262443439,1,0.897959183673469,1.0907470167756e-05,2.85951564090193e-05,0.00522128468960764,0,0.0068230722701709,0.416666666666667,0.0035,0.510416666666667,50,0.489583333333333,0.583333333333333
"395","SBL","Ipomoea_costellata",NA,NA,1,1,NA,NA,NA,0,0,NA,0,0,0,12.5,1,1
"396","SBL","Ipomopsis_pumila",-0.851951547779273,-0.851951547779273,NA,NA,NA,0.0109376323804759,0.0110092703080733,NA,NA,NA,0.0833333333333333,0.0172000000000001,0.635416666666667,62,0.364583333333333,0.916666666666667
"397","SBL","Kallstroemia_hirsutissima",NA,NA,0.404170804369414,0.401197604790419,1,NA,NA,0.33777057314588,0.34194708563707,0,0.0833333333333333,0.0375000000000002,0.739583333333333,72,0.260416666666667,0.916666666666667
"398","SBL","Kallstroemia_parviflora",0.597585513078471,0.648506151142354,0.956196581196581,0.965379494007989,0.918918918918919,0.0803857021596727,0.0631195508257833,0.000614411086131138,0.000532121473963297,0.00675195118762119,0.5,0.0420500000000001,0.760416666666667,74,0.239583333333333,0.5
"399","SBL","Krascheninnikovia_lanata",NA,-0.875,-1,-1,NA,NA,0.0213404282874103,0,0,NA,0.25,0.00500000000000004,0.520833333333333,51,0.479166666666667,0.75
"400","SBL","Lappula_occidentalis",NA,1,0.555555555555556,NA,0.555555555555556,NA,0,0.238987959152568,NA,0.238987959152568,0.0833333333333333,0.00025,0.3125,32.5,0.6875,0.916666666666667
"401","SBL","Lepidium_densiflorum",0.293293051359517,0.628803245436105,0.503083700440529,0.25,0.503978779840849,0.0582312084947319,0.00902416020041531,0.0391852006449069,0.439453125,0.0364093917888896,0.583333333333333,0.247425,0.916666666666667,89,0.0833333333333334,0.416666666666667
