Site,Date,Month,Day,Year,ambient_precip
SGS,8/20/2016,8,20,2016,0
SGS,8/21/2016,8,21,2016,0
SGS,8/22/2016,8,22,2016,0
SGS,8/23/2016,8,23,2016,0
SGS,8/24/2016,8,24,2016,2.032
SGS,8/25/2016,8,25,2016,0
SGS,8/26/2016,8,26,2016,0.508
SGS,8/27/2016,8,27,2016,0
SGS,8/28/2016,8,28,2016,0
SGS,8/29/2016,8,29,2016,0
SGS,8/30/2016,8,30,2016,0.508
SGS,8/31/2016,8,31,2016,0
SGS,9/1/2016,9,1,2016,0
SGS,9/2/2016,9,2,2016,0
SGS,9/3/2016,9,3,2016,0
SGS,9/4/2016,9,4,2016,0
SGS,9/5/2016,9,5,2016,0
SGS,9/6/2016,9,6,2016,0
SGS,9/7/2016,9,7,2016,0
SGS,9/8/2016,9,8,2016,0
SGS,9/9/2016,9,9,2016,0
SGS,9/10/2016,9,10,2016,0
SGS,9/11/2016,9,11,2016,0
SGS,9/12/2016,9,12,2016,0
SGS,9/13/2016,9,13,2016,0.762
SGS,9/14/2016,9,14,2016,1.778
SGS,9/15/2016,9,15,2016,0
SGS,4/1/2017,4,1,2017,1.27
SGS,4/2/2017,4,2,2017,0
SGS,4/3/2017,4,3,2017,0.762
SGS,4/4/2017,4,4,2017,0
SGS,4/5/2017,4,5,2017,0
SGS,4/6/2017,4,6,2017,0
SGS,4/7/2017,4,7,2017,0
SGS,4/8/2017,4,8,2017,0
SGS,4/9/2017,4,9,2017,0
SGS,4/10/2017,4,10,2017,0
SGS,4/11/2017,4,11,2017,0
SGS,4/12/2017,4,12,2017,0
SGS,4/13/2017,4,13,2017,0
SGS,4/14/2017,4,14,2017,0
SGS,4/15/2017,4,15,2017,0
SGS,4/16/2017,4,16,2017,0
SGS,4/17/2017,4,17,2017,0
SGS,4/18/2017,4,18,2017,0
SGS,4/19/2017,4,19,2017,0
SGS,4/20/2017,4,20,2017,7.874
SGS,4/21/2017,4,21,2017,38.862
SGS,4/22/2017,4,22,2017,3.302
SGS,4/23/2017,4,23,2017,0
SGS,4/24/2017,4,24,2017,6.604
SGS,4/25/2017,4,25,2017,1.27
SGS,4/26/2017,4,26,2017,0
SGS,4/27/2017,4,27,2017,4.826
SGS,4/28/2017,4,28,2017,0
SGS,4/29/2017,4,29,2017,0
SGS,4/30/2017,4,30,2017,0
SGS,5/1/2017,5,1,2017,0
SGS,5/2/2017,5,2,2017,0.508
SGS,5/3/2017,5,3,2017,4.318
SGS,5/4/2017,5,4,2017,0
SGS,5/5/2017,5,5,2017,0
SGS,5/6/2017,5,6,2017,0
SGS,5/7/2017,5,7,2017,0
SGS,5/8/2017,5,8,2017,4.826
SGS,5/9/2017,5,9,2017,1.016
SGS,5/10/2017,5,10,2017,0.762
SGS,5/11/2017,5,11,2017,0
SGS,5/12/2017,5,12,2017,0
SGS,5/13/2017,5,13,2017,0
SGS,5/14/2017,5,14,2017,0
SGS,5/15/2017,5,15,2017,0
SGS,5/16/2017,5,16,2017,1.778
SGS,5/17/2017,5,17,2017,9.144
SGS,5/18/2017,5,18,2017,44.196
SGS,5/19/2017,5,19,2017,2.794
SGS,5/20/2017,5,20,2017,0
SGS,5/21/2017,5,21,2017,0.508
SGS,5/22/2017,5,22,2017,0
SGS,5/23/2017,5,23,2017,0
SGS,5/24/2017,5,24,2017,0
SGS,5/25/2017,5,25,2017,7.366
SGS,5/26/2017,5,26,2017,0.762
SGS,5/27/2017,5,27,2017,0
SGS,5/28/2017,5,28,2017,0.508
SGS,5/29/2017,5,29,2017,4.318
SGS,5/30/2017,5,30,2017,0
SGS,5/31/2017,5,31,2017,0
SGS,6/1/2017,6,1,2017,0
SGS,6/2/2017,6,2,2017,7.366
SGS,6/3/2017,6,3,2017,0
SGS,6/4/2017,6,4,2017,0
SGS,6/5/2017,6,5,2017,0
SGS,6/6/2017,6,6,2017,0
SGS,6/7/2017,6,7,2017,0
SGS,6/8/2017,6,8,2017,0
SGS,6/9/2017,6,9,2017,0
SGS,6/10/2017,6,10,2017,0
SGS,6/11/2017,6,11,2017,0
SGS,6/12/2017,6,12,2017,4.826
SGS,6/13/2017,6,13,2017,0
SGS,6/14/2017,6,14,2017,0
SGS,6/15/2017,6,15,2017,0
SGS,6/16/2017,6,16,2017,0
SGS,6/17/2017,6,17,2017,0
SGS,6/18/2017,6,18,2017,0
SGS,6/19/2017,6,19,2017,0
SGS,6/20/2017,6,20,2017,0
SGS,6/21/2017,6,21,2017,0
SGS,6/22/2017,6,22,2017,0
SGS,6/23/2017,6,23,2017,0.762
SGS,6/24/2017,6,24,2017,0
SGS,6/25/2017,6,25,2017,0
SGS,6/26/2017,6,26,2017,0
SGS,6/27/2017,6,27,2017,0
SGS,6/28/2017,6,28,2017,0
SGS,6/29/2017,6,29,2017,1.27
SGS,6/30/2017,6,30,2017,0.762
SGS,7/1/2017,7,1,2017,0
SGS,7/2/2017,7,2,2017,0
SGS,7/3/2017,7,3,2017,0
SGS,7/4/2017,7,4,2017,0
SGS,7/5/2017,7,5,2017,0
SGS,7/6/2017,7,6,2017,0.508
SGS,7/7/2017,7,7,2017,0.508
SGS,7/8/2017,7,8,2017,0
SGS,7/9/2017,7,9,2017,4.318
SGS,7/10/2017,7,10,2017,0.762
SGS,7/11/2017,7,11,2017,0
SGS,7/12/2017,7,12,2017,0
SGS,7/13/2017,7,13,2017,0
SGS,7/14/2017,7,14,2017,0
SGS,7/15/2017,7,15,2017,0
SGS,7/16/2017,7,16,2017,0
SGS,7/17/2017,7,17,2017,0
SGS,7/18/2017,7,18,2017,0
SGS,7/19/2017,7,19,2017,0
SGS,7/20/2017,7,20,2017,0
SGS,7/21/2017,7,21,2017,0.762
SGS,7/22/2017,7,22,2017,13.716
SGS,7/23/2017,7,23,2017,0
SGS,7/24/2017,7,24,2017,0
SGS,7/25/2017,7,25,2017,0
SGS,7/26/2017,7,26,2017,0.508
SGS,7/27/2017,7,27,2017,0
SGS,7/28/2017,7,28,2017,0.762
SGS,7/29/2017,7,29,2017,0
SGS,7/30/2017,7,30,2017,5.588
SGS,7/31/2017,7,31,2017,0
SGS,8/1/2017,8,1,2017,0
SGS,8/2/2017,8,2,2017,0
SGS,8/3/2017,8,3,2017,0
SGS,8/4/2017,8,4,2017,0
SGS,8/5/2017,8,5,2017,4.064
SGS,8/6/2017,8,6,2017,5.334
SGS,8/7/2017,8,7,2017,3.556
SGS,8/8/2017,8,8,2017,6.35
SGS,8/9/2017,8,9,2017,0
SGS,8/10/2017,8,10,2017,3.302
SGS,8/11/2017,8,11,2017,0
SGS,8/12/2017,8,12,2017,0.762
SGS,8/13/2017,8,13,2017,0
SGS,8/14/2017,8,14,2017,0
