"period","site","term","estimate","conf.low","conf.high","std.error","statistic","p.value","signif"
"Drought","SGS","Durationperennial",-0.39565126961285,-1.09994248985464,0.308639950628937,0.349230894288903,-1.13292173196323,0.26352477839031," "
"Drought","SGS","spatial_rarity:Durationperennial",0.466735316976435,-0.895673999985553,1.82914463393842,0.675566314722517,0.690880090976921,0.493353827339049," "
"Drought","SBL","(Intercept)",0.335132917167099,-0.0801664149983234,0.750432249332521,0.207394005344024,1.61592383835387,0.111632864702944," "
"Drought","SBL","spatial_rarity",0.48741979658944,-0.260127344514935,1.23496693769381,0.373313376086422,1.30565853733728,0.196914049275959," "
"Drought","SBL","Durationperennial",-0.547857479767346,-1.06238266180074,-0.0333322977339493,0.256945846254731,-2.13219045084002,0.0373127390406584,"*"
"Drought","SBL","spatial_rarity:Durationperennial",0.63700023597606,-0.33476335322459,1.60876382517671,0.485283571155685,1.3126350732605,0.194566757068493," "
"Drought","SBK","(Intercept)",-0.227741600996199,-0.663405494570993,0.207922292578594,0.216794019713916,-1.05049761657047,0.29864289214291," "
"Drought","SBK","spatial_rarity",1.21415444395771,0.255752635450525,2.1725562524649,0.476917604675654,2.54583691617642,0.0140974569144719,"*"
"Drought","SBK","Durationperennial",-0.600472651001754,-1.1733959142072,-0.0275493877963104,0.285096697361721,-2.10620696963001,0.0403321621461115,"*"
"Drought","SBK","spatial_rarity:Durationperennial",0.699944951637899,-0.463272896268077,1.86316279954388,0.578837669978299,1.20922494844563,0.232378795604895," "
"Post-Drought","KNZ","(Intercept)",-1.37110890967769,-2.74161935982621,-0.000598459529165929,0.684914350705744,-2.00186915088708,0.0499032486207824,"*"
"Post-Drought","KNZ","spatial_rarity",1.91818837915493,0.0609469700021852,3.77542978830767,0.928158770125262,2.06665975789471,0.0431638533749311,"*"
"Post-Drought","KNZ","Durationperennial",0.937594212242411,-0.463759724921599,2.33894814940642,0.700328422798683,1.33879217481358,0.185774144706647," "
"Post-Drought","KNZ","spatial_rarity:Durationperennial",-0.796979108528125,-2.73421447047596,1.14025625341971,0.968135850367955,-0.823209994986985,0.413703666715045," "
"Post-Drought","HYS","(Intercept)",0.205818239675383,-0.452067157995718,0.863703637346484,0.330246818090816,0.623225504079752,0.535027024676134," "
"Post-Drought","HYS","spatial_rarity",0.669847999429346,-0.560430420466906,1.9001264193256,0.617577977828374,1.08463712029495,0.281556706471994," "
"Post-Drought","HYS","Durationperennial",-0.50177764541515,-1.19663942212051,0.193084131290211,0.348808305492439,-1.43854844484495,0.154438603381528," "
"Post-Drought","HYS","spatial_rarity:Durationperennial",0.447716054653873,-0.858208211666112,1.75364032097386,0.65555085300034,0.682961592689195,0.49673540445748," "
"Post-Drought","CHY","(Intercept)",0.144981059925805,-0.52509511396197,0.81505723381358,0.335518228897516,0.432110828678966,0.66709098996326," "
"Post-Drought","CHY","spatial_rarity",0.188569494921063,-0.91509313744023,1.29223212728236,0.552622143780701,0.341226816629147,0.734033434443043," "
"Post-Drought","CHY","Durationperennial",-0.353737397867023,-1.07596042716668,0.368485631432633,0.361629022344859,-0.9781775687508,0.331613206947453," "
"Post-Drought","CHY","spatial_rarity:Durationperennial",0.237676959550272,-0.981283853867322,1.45663777296787,0.610353851026262,0.389408470431762,0.698246925006435," "
"Post-Drought","SGS","(Intercept)",0.0974788429953754,-0.449621728024289,0.64457941401504,0.270253975620261,0.36069346536587,0.720326034570511," "
"Post-Drought","SGS","spatial_rarity",0.145986484415577,-1.07619882063723,1.36817178946839,0.603728921392977,0.24180800230465,0.81022913864686," "
"Post-Drought","SGS","Durationperennial",-0.350416411468812,-1.11092900382095,0.410096180883329,0.375674167565528,-0.932766854158771,0.356829490963546," "
"Post-Drought","SGS","spatial_rarity:Durationperennial",-0.157253663914202,-1.68841828505103,1.37391095722262,0.756356962706304,-0.207909322803794,0.836410071041408," "
"Post-Drought","SBL","(Intercept)",0.103619916010667,-0.307055168792052,0.514295000813386,0.206281582968523,0.502322672337058,0.616855773952644," "
"Post-Drought","SBL","spatial_rarity",0.797320739982339,0.167212549281588,1.42742893068309,0.316502558419444,2.51916048945706,0.0138084013931065,"*"
"Post-Drought","SBL","Durationperennial",-0.220698786742481,-0.751049172995584,0.309651599510622,0.266394337647272,-0.828466508303583,0.409934240156841," "
"Post-Drought","SBL","spatial_rarity:Durationperennial",0.0274424887147414,-0.846229174998719,0.901114152428202,0.438844187180557,0.0625335586442451,0.950297906973344," "
"Post-Drought","SBK","(Intercept)",-0.150004134213436,-0.63992302024826,0.339914751821388,0.245005554901006,-0.612247890763311,0.542649331304119," "
"Post-Drought","SBK","spatial_rarity",0.685458708109125,-0.26352002211003,1.63443743832828,0.474578684378519,1.44435207621422,0.153757017803368," "
"Post-Drought","SBK","Durationperennial",-0.22622473844083,-0.877390568851362,0.424941091969702,0.325644203887593,-0.694699109457877,0.489881558666693," "
"Post-Drought","SBK","spatial_rarity:Durationperennial",0.333545778360099,-0.899509870135195,1.56660142685539,0.616643881252489,0.540905032062626,0.590542902297592," "
