"","site","species","resp.ratio.site_D","resp.ratio.site_PD","SE.RII_D","SE.RII_PD","persistence.site","mean.ctrl.cov","percrank","absrank","spatial_rarity","temporal_rarity"
"180","HYS","Psoralea_cuspidata",0.6,0.777777777777778,0.127516981132075,0.0559787199984072,0.3,0.00750000000000001,0.385826771653543,50.5,0.614173228346457,0.7
"181","HYS","Psoralea_esculenta",-0.818181818181818,-0.666666666666667,0.0331970313400079,0.104690117252931,0.7,0.045,0.598425196850394,77,0.401574803149606,0.3
"182","HYS","Psoralea_tenuiflora",-0.259194395796847,-0.227170490328385,0.00662389006155498,0.0026334562914534,1,13.4075,0.968503937007874,124,0.031496062992126,0
"183","HYS","Ratibida_columnifera",-0.0833333333333332,-0.266666666666667,0.0245588311020955,0.051731199205906,0.9,0.2775,0.763779527559055,98,0.236220472440945,0.1
"184","HYS","Ruellia_humilis",1,NA,0,NA,0,0,0,16.5,1,1
"185","HYS","Salsola_tragus",1,NA,0,NA,0,0,0,16.5,1,1
"186","HYS","Salvia_azurea",0,NA,0.499999999999996,NA,0.2,0.0100000000000001,0.425196850393701,55,0.574803149606299,0.8
"187","HYS","Schedonnardus_paniculatus",2.08166817117216e-16,-1,0.374213836477985,0,0.3,0.0475000000000002,0.614173228346457,79,0.385826771653543,0.7
"188","HYS","Schizachyrium_scoparium",-0.39074618882054,-0.184883951596905,0.00671123782262459,0.00388684134476691,1,21.965,0.984251968503937,126,0.015748031496063,0
"189","HYS","Schrankia_nutallii",-0.966942148760331,-0.952561669829222,0.000276204291098599,0.000675153801045553,1,3.96750000000001,0.921259842519685,118,0.0787401574803149,0
"190","HYS","Senecio_plattensis",0.178082191780822,0.0429447852760735,0.0163228463969358,0.0202954743947832,1,0.285,0.779527559055118,100.5,0.220472440944882,0
"191","HYS","Silene_antirrhina",0.205882352941177,0.255813953488373,0.0330549729367953,0.0254698714872707,0.8,0.2,0.724409448818898,93,0.275590551181102,0.2
"192","HYS","Solanum_rostratum",NA,1,NA,0,0,0,0,16.5,1,1
"193","HYS","Solidago_canadensis",-0.375,1,0.0640101402810534,0,0.1,0.0275000000000001,0.519685039370079,67,0.480314960629921,0.9
"194","HYS","Solidago_missouriensis",1,1,0,0,0,0,0,16.5,1,1
"195","HYS","Sorghastrum_nutans",-0.986666666666667,-1,0.000223265930584689,0,0.9,0.869999999999999,0.866141732283465,111,0.133858267716535,0.1
"196","HYS","Sphaeralcea_coccinea",0.956521739130435,0.818181818181818,0.00194781542501707,0.0053885986177043,0.6,0.0275,0.511811023622047,66,0.488188976377953,0.4
"197","HYS","Sporobolus_asper",-0.399290647750607,-0.272420104181332,0.0032216876057303,0.00329743775570252,1,23.3075,0.992125984251969,127,0.00787401574803148,0
"198","HYS","Sporobolus_cryptandrus",0.181818181818182,-0.142857142857143,0.0976818781065837,0.0875849468081762,0.8,0.1125,0.68503937007874,88,0.31496062992126,0.2
"199","HYS","Sporobolus_heterolepis",1,NA,0,NA,0,0,0,16.5,1,1
"200","HYS","Stenaria_nigricans",1,NA,0,NA,0,0,0,16.5,1,1
"201","HYS","Teucrium_canadense",1,NA,0,NA,0,0,0,16.5,1,1
"202","HYS","Thelesperma_megapotamicum",0.263157894736843,0.353846153846154,0.0829617772652336,0.041402261332924,1,0.1225,0.708661417322835,91,0.291338582677165,0
"203","HYS","Tradescantia_bracteata",1,NA,0,NA,0,0,0,16.5,1,1
"204","HYS","Tragia_racemosa",0.701492537313433,0.811023622047244,0.0138075686916566,0.00587890962616775,0.9,0.0574999999999999,0.62992125984252,81,0.37007874015748,0.1
"205","HYS","Tragopogon_dubius",0.150000000000001,-0.073170731707317,0.069429225628931,0.0538288899483882,0.9,0.254999999999999,0.740157480314961,95,0.259842519685039,0.1
"206","HYS","Triodanis_sp.",0.818181818181818,0.666666666666667,0.0298979474801313,0.098486258452758,0.3,0.0125,0.448818897637795,58,0.551181102362205,0.7
"207","HYS","UNKFHYS1",NA,1,NA,0,0,0,0,16.5,1,1
"208","HYS","UNKFHYS2",NA,-1,NA,0,0.1,0.0124999999999999,0.433070866141732,56,0.566929133858268,0.9
"209","HYS","UNKFHYS4",-1,NA,0,NA,0.2,0.005,0.307086614173228,40,0.692913385826772,0.8
"210","HYS","UNKFHYS5",-0.333333333333333,NA,0.29567513005668,NA,0.1,0.005,0.31496062992126,41,0.68503937007874,0.9
"211","HYS","UNKFHYS7",1,NA,0,NA,0,0,0,16.5,1,1
"212","HYS","UNKFHYS8",0.5,NA,0.100432389937107,NA,0.1,0.005,0.322834645669291,42,0.677165354330709,0.9
"213","HYS","UNKGRHYS1",1,NA,0,NA,0,0,0,16.5,1,1
"214","HYS","UNKHYS",-1.38777878078144e-16,-0.333333333333333,0.499999999999995,0.146907376388113,0.3,0.0174999999999999,0.464566929133858,60,0.535433070866142,0.7
"215","HYS","Ulmus_sp.",NA,1,NA,0,0,0,0,16.5,1,1
"216","HYS","Unk_overlapping_alt",NA,1,NA,0,0,0,0,16.5,1,1
"217","HYS","Unknown_Cirsium",NA,1,NA,0,0,0,0,16.5,1,1
"218","HYS","Unknown_rosette",NA,1,NA,0,0,0,0,16.5,1,1
"219","HYS","Unknown_woody",NA,1,NA,0,0,0,0,16.5,1,1
"220","HYS","Vicia_americana",-0.749999999999999,-0.636363636363637,0.0563949488993707,0.071049874054378,0.7,0.04,0.551181102362205,71,0.448818897637795,0.3
